channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Paid Search Non Brand,2023-08-30,0.633,0.0,0.0,,0.0
Paid Search Non Brand,2023-08-31,5.495,0.0,0.0,,0.0
Paid Search Non Brand,2023-09-01,10.702,2.769,137.228006,3.864933188876851,12.822650532610727
Paid Search Non Brand,2023-09-02,8.771,2.5277,88.835495,3.4699529216283582,10.128320031923382
Paid Search Non Brand,2023-09-03,10.744,6.3562,289.277011,1.6903181145967716,26.924517032762473
Paid Search Non Brand,2023-09-04,8.515,1.3664,46.022668,6.2317037470726,5.404893482090428
Paid Search Non Brand,2023-09-05,7.776999999999999,2.8268,235.302654,2.7511673977642563,30.256223993827955
Paid Search Non Brand,2023-09-06,2.1310000000000002,0.6836,51.819546,3.1173200702165014,24.317008916001875
Paid Search Non Brand,2023-09-07,3.764,1.0,93.18,3.764,24.755579171094585
Performance Max,2023-08-29,13.952,0.0,0.0,,0.0
Performance Max,2023-08-30,14.163,0.0,0.0,,0.0
Performance Max,2023-08-31,19.665,0.5059,30.267997,38.871318442379916,1.5391811339944064
Performance Max,2023-09-01,92.909,48.1868,1899.7690010000001,1.928100641669503,20.447631564218753
Performance Max,2023-09-02,119.364,63.0551,3363.7915470000003,1.8930110332074646,28.180955288026542
Performance Max,2023-09-03,114.911,67.9042,2771.94355,1.6922517311153065,24.122525693797808
Performance Max,2023-09-04,149.951,67.5804,2370.039028,2.2188533953631526,15.805423291608594
Performance Max,2023-09-05,106.771,55.9339,1736.300014,1.9088781579686023,16.261906453999682
Performance Max,2023-09-06,100.757,55.3217,1684.587854,1.821292548855151,16.719313338031103
Performance Max,2023-09-07,69.17,46.663,1442.303481,1.482330754559287,20.8515755529854
Referral,2023-08-29,0.0,0.0,0.0,,
Referral,2023-08-31,0.0,0.0,0.0,,
Referral,2023-09-01,0.0,4.0866,510.48505,0.0,
Referral,2023-09-02,0.0,3.8651,331.058112,0.0,
Referral,2023-09-03,0.0,7.7902000000000005,458.762452,0.0,
Referral,2023-09-04,0.0,11.1284,1030.004784,0.0,
Referral,2023-09-05,0.0,2.8735,131.552928,0.0,
Referral,2023-09-06,0.0,8.9304,416.572349,0.0,
Referral,2023-09-07,0.0,1.5995,76.34294700000001,0.0,
Social Organic,2023-08-29,0.0,0.0,0.0,,
Social Organic,2023-09-01,0.0,0.7646,10.796152,0.0,
Social Organic,2023-09-02,0.0,1.4566,79.47245600000001,0.0,
Social Organic,2023-09-03,0.0,2.0,119.72,0.0,
Social Organic,2023-09-04,0.0,3.076,136.69452,0.0,
Social Organic,2023-09-05,0.0,1.8356,56.330352999999995,0.0,
Social Organic,2023-09-06,0.0,2.0,148.97,0.0,
Social Organic,2023-09-07,0.0,2.9917,307.28085,0.0,
TikTok Ads,2023-09-01,9.947,2.4619,23.440806000000002,4.040375319874893,2.3565704232431894
TikTok Ads,2023-09-02,2.641,1.0,18.33,2.641,6.940552820901173
TikTok Ads,2023-09-03,9.43,3.0,36.82,3.143333333333333,3.904559915164369
TikTok Ads,2023-09-05,6.396,2.0,17.490000000000002,3.198,2.734521575984991
TikTok Ads,2023-09-06,6.993,2.0,71.9,3.4965,10.281710281710282
Untracked Conversions,2023-08-29,0.0,0.0,0.0,,
Untracked Conversions,2023-09-01,0.0,9.0,718.59,0.0,
Untracked Conversions,2023-09-02,0.0,3.0,105.53,0.0,
Untracked Conversions,2023-09-03,0.0,9.0,497.9,0.0,
Untracked Conversions,2023-09-04,0.0,11.329,617.13315,0.0,
Untracked Conversions,2023-09-05,0.0,2.0,43.72,0.0,
Untracked Conversions,2023-09-06,0.0,6.0,196.98,0.0,
Untracked Conversions,2023-09-07,0.0,10.0,818.15,0.0,
